{'M_BLOCKING=16_avg': 11.3155, 'M_BLOCKING=16_best': 11.3155, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 10.7034, 'M_BLOCKING=1_best': 10.7034, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 10.6294, 'M_BLOCKING=2_best': 10.6294, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 11.526399999999999, 'M_BLOCKING=31_best': 11.526399999999999, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 10.862300000000001, 'M_BLOCKING=4_best': 10.862300000000001, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 11.2241, 'M_BLOCKING=8_best': 11.2241, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 1.1816, 'xsmm_reference_best': 1.1816, 'xsmm_reference_cpu_freq': 3.000015, 'xsmm_reference_kernel_type': 'dense'}
{'M_BLOCKING=16_avg': 34.170100000000005, 'M_BLOCKING=16_best': 34.170100000000005, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.8855, 'M_BLOCKING=1_best': 33.8855, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 33.931599999999996, 'M_BLOCKING=2_best': 33.931599999999996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 34.685, 'M_BLOCKING=31_best': 34.685, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 34.0366, 'M_BLOCKING=4_best': 34.0366, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 34.1129, 'M_BLOCKING=8_best': 34.1129, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 2.3146999999999998, 'xsmm_reference_best': 2.3146999999999998, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 34.4127, 'M_BLOCKING=16_best': 34.4127, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 33.90990000000001, 'M_BLOCKING=1_best': 33.90990000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 34.0189, 'M_BLOCKING=2_best': 34.0189, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 34.6824, 'M_BLOCKING=31_best': 34.6824, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 34.2735, 'M_BLOCKING=4_best': 34.2735, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 34.22240000000001, 'M_BLOCKING=8_best': 34.22240000000001, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 5.1348, 'xsmm_reference_best': 5.1348, 'xsmm_reference_cpu_freq': 2.999879, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 45.417899999999996, 'M_BLOCKING=16_best': 45.417899999999996, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 45.0663, 'M_BLOCKING=1_best': 45.0663, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 45.12820000000001, 'M_BLOCKING=2_best': 45.12820000000001, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 45.6423, 'M_BLOCKING=31_best': 45.6423, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 45.2949, 'M_BLOCKING=4_best': 45.2949, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 45.41609999999999, 'M_BLOCKING=8_best': 45.41609999999999, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 3.6512000000000002, 'xsmm_reference_best': 3.6512000000000002, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 45.6291, 'M_BLOCKING=16_best': 45.6291, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 45.1124, 'M_BLOCKING=1_best': 45.1124, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 45.2513, 'M_BLOCKING=2_best': 45.2513, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 46.020500000000006, 'M_BLOCKING=31_best': 46.020500000000006, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 45.410199999999996, 'M_BLOCKING=4_best': 45.410199999999996, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 45.6201, 'M_BLOCKING=8_best': 45.6201, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 3.3808, 'xsmm_reference_best': 3.3808, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 20.6537, 'M_BLOCKING=16_best': 20.6537, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 18.6312, 'M_BLOCKING=1_best': 18.6312, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 19.9255, 'M_BLOCKING=2_best': 19.9255, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 21.1494, 'M_BLOCKING=31_best': 21.1494, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 20.355200000000004, 'M_BLOCKING=4_best': 20.355200000000004, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 20.4377, 'M_BLOCKING=8_best': 20.4377, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 4.9567, 'xsmm_reference_best': 4.9567, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 80.8917, 'M_BLOCKING=16_best': 80.8917, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 79.8615, 'M_BLOCKING=1_best': 79.8615, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 80.92280000000001, 'M_BLOCKING=2_best': 80.92280000000001, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 81.3252, 'M_BLOCKING=31_best': 81.3252, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 80.71520000000001, 'M_BLOCKING=4_best': 80.71520000000001, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 80.8965, 'M_BLOCKING=8_best': 80.8965, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m3.txt', 'size_n': 33600, 'xsmm_reference_avg': 7.110799999999995, 'xsmm_reference_best': 7.110799999999995, 'xsmm_reference_cpu_freq': 2.999974, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 81.366, 'M_BLOCKING=16_best': 81.366, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 80.75370000000001, 'M_BLOCKING=1_best': 80.75370000000001, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 80.7311, 'M_BLOCKING=2_best': 80.7311, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 82.39750000000001, 'M_BLOCKING=31_best': 82.39750000000001, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 81.076, 'M_BLOCKING=4_best': 81.076, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 81.1206, 'M_BLOCKING=8_best': 81.1206, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m6.txt', 'size_n': 33600, 'xsmm_reference_avg': 11.9511, 'xsmm_reference_best': 11.9511, 'xsmm_reference_cpu_freq': 2.99995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 142.5538, 'M_BLOCKING=16_best': 142.5538, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 135.4868, 'M_BLOCKING=1_best': 135.4868, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 140.06289999999998, 'M_BLOCKING=2_best': 140.06289999999998, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 141.5085, 'M_BLOCKING=31_best': 141.5085, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 141.17249999999999, 'M_BLOCKING=4_best': 141.17249999999999, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 141.1361, 'M_BLOCKING=8_best': 141.1361, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m132.txt', 'size_n': 33600, 'xsmm_reference_avg': 12.757500000000004, 'xsmm_reference_best': 12.757500000000004, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=16_avg': 143.8413, 'M_BLOCKING=16_best': 143.8413, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 139.9663, 'M_BLOCKING=1_best': 139.9663, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 141.3663, 'M_BLOCKING=2_best': 141.3663, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 142.83499999999998, 'M_BLOCKING=31_best': 142.83499999999998, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 141.3603, 'M_BLOCKING=4_best': 141.3603, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 141.3926, 'M_BLOCKING=8_best': 141.3926, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre-lobatto/m460.txt', 'size_n': 33600, 'xsmm_reference_avg': 9.958000000000004, 'xsmm_reference_best': 9.958000000000004, 'xsmm_reference_cpu_freq': 2.999858, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=16_avg': 81.2672, 'M_BLOCKING=16_best': 81.2672, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 79.92569999999999, 'M_BLOCKING=1_best': 79.92569999999999, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 80.3495, 'M_BLOCKING=2_best': 80.3495, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=31_avg': 81.2615, 'M_BLOCKING=31_best': 81.2615, 'M_BLOCKING=31_kernel_type': 'dense', 'M_BLOCKING=4_avg': 80.5367, 'M_BLOCKING=4_best': 80.5367, 'M_BLOCKING=4_kernel_type': 'dense', 'M_BLOCKING=8_avg': 81.4505, 'M_BLOCKING=8_best': 81.4505, 'M_BLOCKING=8_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'data/example_mats/hex/p3/gauss-legendre/m0.txt', 'size_n': 33600, 'xsmm_reference_avg': 5.7482999999999995, 'xsmm_reference_best': 5.7482999999999995, 'xsmm_reference_cpu_freq': 2.999955, 'xsmm_reference_kernel_type': 'wide-sparse'}
